commodity,value_bd
"Atlantic Salmon (Salmo Salar) And Danube Salmon (Hucho Hucho), Frozen",5980.554
Atm Machines,229961.67599999998
"Aubergines ( Egg-Plants ), Fresh Or Chilled",497798.87299999996
Automatic Beverage-Vending Machines Incorporating Heating Or Refrigerating Devices,82760.106
Automatic Circuit Breakers For 1000 V Or Less,2471335.175
Automatic Circuit Breakers For V Under 72.5 Kv,516774.898
Automatic Door Closers,738155.247
Automatic Goods-Vending Machines For Food Incorporating Heating Or Refrigerating Devices,11958.32
Automatic Grease Pumping Equipment For Machinery,54647.159
Automatic Joints,919150.363
Automatic Machines For Arc Welding Of Metal,68437.37
Automatic Machines For Resistance Welding Of Metal,49471.774999999994
Automatic Sewing Machines,172668.684
Automatic Transmission Fluid,646596.6579999999
Auxiliary Plant For Use With Boilers,610016.09
"Avocados,  Fresh Or Dried",1718501.549
"Awnings And Sunblinds, Of Other Textiles",39245.377
"Awnings And Sunblinds, Synthetic Fibers",22097.795000000002
"Axes, Bill Hooks And Similar Hewing Tools",41637.312
Axial Ignots Of Stone Or Of Other Mineral,97.9
"Azelaic Acid, Sebacic Acid, Their Salts And Esters",17.82
Azides Of  Sodium,1.83
Babies' Feeding Bottles Of Plastic,158492.921
"Babies' Garments, Cotton, Not Knitted",562702.475
"Babies' Garments, Of Other Textiles, Not Knitted",215092.566
"Babies' Garments, Of Synthetic Fibers, Not Knitted",108005.53
Baby Carriages,505040.99600000004
Baby Food Of Fruit,112684.455
"Baby Food With Milk Base, No Cocoa",6481322.983
Baby Other Footwear Covering The Ankle,108687.693
Baby Other Footwear Not Covering The Ankle,835620.663
"Baby Seats With Metal Frames, Not Upholstered",33934.143
"Baby Seats With Metal Frames, Upholstered",81287.932
Baby Seats With Plastic Frames,180982.847
"Baby Walkers With Small Wheels, With Metal Frames .",5500.102
"Baby Walkers With Small Wheels, With Plastic Frames",15481.699
Backed Foil Of Copper Alloys,6026.816
Backed Foil Of Refined Copper,98885.451
Bacteria Incubating Appliances For Laboratories,1273.38
Bags For Filtering The Coffee And Bags For Ice,3059.142
Bags For Protecting Clothes,113579.81
Bakery Machinery And Machinery For Pasta And The Like,268107.756
"Bakery Ovens, Including Biscuit Ovens",159287.914
Baking Powder,191660.238
Balances Of A Sensitivity Of 5 Cg Or Better,14890.072
"Balata, Gutta-Percha, Guayule, Chicle And Natural Gums",29.38
Ball Bearings,3247578.9710000004
Ball Point Pens,798422.7440000001
Ballasts For Discharge Lamps Or Tubes,1093602.784
Balloons,55506.652
"Balloons And Dirigibles; Gliders, Hang Gliders And Other Non-Powered Aircraft.",1822.859
Balls Of Unworked Glass,1276291.245
"Balls, Needles And Rollers",67949.543
"Bambara Beans (Vigna Subterranea Or Voandzeia Subterranea)  For Food, Dried",0.76
"Bambara Beans (Vigna Subterranea Or Voandzeia Subterranea) For Sowing, Dried Shelled,",2.74
Bamboo Shoots,26259.112999999998
Bamboos,8758.381000000001
"Banana Plantains, Fresh Or Dried",6709712.222
Barbed Wire Of Iron Or Steel; Twisted Wire,34124.609000000004
Barbers' Chairs And Parts,175449.799
Barley Flour,949.078
Barley Seed,116912.49799999999
"Barns And Cages For Animal Production, Aluminum",54.38
"Barns And Cages For Animal Production, Fiberglass",101.29
"Barns And Cages For Animal Production, Iron",445.399
"Barracuda, Fresh Or Chilled",4549.257
"Bars And Rods Of Aluminium, Not Alloyed",1957641.993
Bars And Rods Of Copper-Zinc Base Alloys (Brass),106623.72899999999
"Bars And Rods Of Free-Cutting Steel, Not Further Worked Than Cold-Formed Or Cold-Finished, Of Circular Cross-Section Measuring Less Than 8Mm In Diameter",614.81
Bars And Rods Of Iron Of Rectangular (Other Than Square)Cross-Section,34680.152
Bars And Rods Of Iron Or Non-Alloy Steel Of Circular Cross-Section Measuring  8-40 Mm In Diameter,18305.08
Bars And Rods Of Iron Or Non-Alloy Steel Of Circular Cross-Section Measuring Less Than 8Mm In Diameter,5993.758
"Bars And Rods Of Iron Or Non-Alloy Steel, Not Further Worked Than Cold-Formed Or Cold-Finished,Of Circular Cross-Section Measuring Less Than 8Mm In Diameter",2240.272
"Bars And Rods Of Iron Or Non-Alloy Steel,Forged, Of Circular Cross-Section Measuring Less Than 8Mm In Diameter",26.28
"Bars And Rods Of Iron Or Non-Alloy Steel,With Deformations, Rolled,  Of Circular Cross-Section Measuring  8-40 Mm In Diameter",5941135.383
"Bars And Rods Of Iron Or Non-Alloy Steel,With Deformations, Rolled,  Of Circular Cross-Section Measuring Less Than 8Mm In Diameter",381453.49
Bars And Rods Of Nickel Alloys,48711.5
"Bars And Rods Of Nickel, Not Alloyed",56404.019
Bars And Rods Of Refined Copper,530978.807
"Bars And Rods, Of Molybdenum, Other Than Those Obtained Simply By Sintering, Profiles, Plates, Sheets, Strip And Foil",58.984
"Bars And Rods, Of Silico-Manganese Steel Of Circular Cross-Section Measuring Less Than 8Mm In Diameter",14108.882
"Bars And Rods,Of Circular Cross-Section Measuring Less Than 14 Mm In Diameter",1033482.3740000001
"Bars Of High Speed Steel, Hot-Rolled, Irregular Coils",70.32
Bars Of Other Alloy Steel Of Circular Cross-Section Measuring  8-40 Mm In Diameter,571.65
Bars Of Other Alloy Steel Of Circular Cross-Section Measuring Less Than 8Mm In Diameter,32039.691
"Bars Of Other Alloy Steel, Cold-Formedof Circular Cross-Section Measuring  8-40 Mm In Diameter",18409.389
"Bars Of Other Alloy Steel, Cold-Formedof Circular Cross-Section Measuring Less Than 8Mm In Diameter",8.527
"Bars Of Other Alloy Steel, Forged Of Circular Cross-Section Measuring Less Than 8Mm In Diameter",9692.347
"Bars Of Other Alloy Steel, Hot-Rolled Of Circular Cross-Section Measuring  8-40 Mm In Diameter",886.99
"Bars Of Other Alloy Steel, Hot-Rolled Of Circular Cross-Section Measuring Less Than 8Mm In Diameter",42825.993
Base Lubricating Oils,284672.662
"Base Metals Clad With Silver, Semi-Manufactured",4715.735
"Base Metals Or Silver Clad With Gold, Semi-Manufactured",26598.13
"Base Metals, Silver Or Gold, Clad With Platinum",1562.001
Base Station,136144.72
Basic Dyes And Preparations Based Thereon,5797.079
Basins And Fixed Bathroom Fittings Not Containing Asbestos,35488.097
Baskets Of Plastics,187918.452
Basketware And Wickerwork Machines,27387.795
Basketwork Wickerwork And Other Articles Of Bamboo,73894.933
Basketwork Wickwork And Other Articles Of Rattan,53671.822
"Basketwork, Wickerwork And Other Articles, Made Directly To Shape From Plaiting Materials ,Of Loofah",12624.672999999999
"Basketwork, Wickerwork And Other Articles, Made Directly To Shape From Plaiting Materials Of Vegetable Materials",161510.539
Bathing Headgear,39172.698
Baths Of Cast Iron,552.419
"Baths, Shower Baths And Washbasins Of Plastic",309097.11799999996
Bathtubs Of Marble And Other Stone,84682.551
Battery Or Accumulator Clocks With Watch Movements,55951.081
Battery Or Accumulator Non-Precious Metal Watches,67096.618
Battery Watch Movements With Mechanical Display,19480.561
Battery Watch Movements With Opto-Electronic Display,396.5
Battery Watch Movements With Other Display,10122.217
"Battery, Accumulator Or Mains Powered Alarm Clocks",33992.334
"Battery, Accumulator Or Mains Powered Other Clocks",18921.554
"Battery, Accumulator Or Mains Powered Wall Clocks",86943.012
Beads,92966.546
Beads And Spangles (Tartar),228.29000000000002
"Beans Of The Species Vigna Mungo (L.) Hepper Or Vigna Radiata (L.) Wilczek For Food, Dried And Shelled,",104670.54400000001
"Beans Of The Species Vigna Mungo (L.) Hepper Or Vigna Radiata (L.) Wilczek For Sowing, Dried And Shelled,",186.88
