flow,year,country_name,value_bd
Import,2023,Anguilla,5435.948
Import,2023,Antarctica,393.136
Import,2023,Antigua,9282.61
Import,2023,Argentina,7236111.235
Import,2023,Armenia,53977.676
Import,2023,Aruba,1441.116
Import,2023,Australia,472105825.492
Import,2023,Austria,19085266.538
Import,2023,Azerbaijan,519089.713
Import,2023,Bahamas,192.485
Import,2023,Bahrain,18514.358
Import,2023,Bangladesh,12418066.906000001
Import,2023,Barbados,26417.072
Import,2023,Belarus,176605.039
Import,2023,Belgium,23793152.919999998
Import,2023,Belize,52771.272
Import,2023,Bhutan,359.571
Import,2023,Bolivia,79828.623
Import,2023,Bosnia & Herzegovina,1176923.534
Import,2023,Brazil,523243862.282
Import,2023,British Indian Ocean Territory,134.903
Import,2023,Brunei,5328.121
Import,2023,Bulgaria,2822073.515
Import,2023,Burkina Faso,11.204
Import,2023,Burundi,8279.375
Import,2023,Cambodia,3254696.404
Import,2023,Cameroon,71396.163
Import,2023,Canada,87551590.796
Import,2023,Cape Verde,837.729
Import,2023,Cayman Islands,435.711
Import,2023,Central African Republic,195.661
Import,2023,Chad,3611.5319999999997
Import,2023,Chile,58028023.572
Import,2023,China,808388542.988
Import,2023,Cocos Islands,1699.253
Import,2023,Colombia,1240337.241
Import,2023,Comoro Islands,30509.418
Import,2023,Costa Rica,1210456.703
Import,2023,Countries And Territories Not Specified For Commercial Or Military Reasons,22885935.707
Import,2023,Croatia,655721.546
Import,2023,Cuba,71324.66799999999
Import,2023,Curaçao,3.762
Import,2023,Cyprus,2287489.348
Import,2023,Czech Republic,21912646.23
Import,2023,Democratic Republic Of Congo,16072241.897
Import,2023,Denmark,19486465.906
Import,2023,Djibouti,22.752
Import,2023,Dominica,4004.795
Import,2023,Dominican Republic,314351.582
Import,2023,Duty Free & Warehouse,396264.516
Import,2023,Ecuador,2100911.631
Import,2023,Egypt,42646020.378
Import,2023,El Salvador,189892.344
Import,2023,Equat Guinea,589.576
Import,2023,Eritrea,1277.041
Import,2023,Estonia,1750387.244
Import,2023,Ethiopia,586541.997
Import,2023,Fiji,147833.234
Import,2023,Finland,3856073.055
Import,2023,France,152010113.12
Import,2023,Free Zone Jabal Ali,16608218.262
Import,2023,Free Zone Oman,183931.142
Import,2023,Gabon,366582.651
Import,2023,Gambia,24772.028000000002
Import,2023,Georgia,107755.466
Import,2023,Germany,197969321.958
Import,2023,Ghana,31940.228
Import,2023,Gibraltar,703.232
Import,2023,Greece,7454805.175
Import,2023,Grenada,2530.3940000000002
Import,2023,Guadeloupe,6895.419999999999
Import,2023,Guam,4120.0560000000005
Import,2023,Guatemala,1385027.108
Import,2023,Guinea,1148.84
Import,2023,Guyana,535.0600000000001
Import,2023,Haiti,2118.333
Import,2023,Holy See,13296.492
Import,2023,Honduras,242279.77200000003
Import,2023,Hong Kong,1828139.2219999998
Import,2023,Hungary,9910088.425999999
Import,2023,Iceland,128667.881
Import,2023,India,279910452.569
Import,2023,Indonesia,38803604.63
Import,2023,Iran,6410484.207
Import,2023,Iraq,61774.977
Import,2023,Ireland,36191163.939
Import,2023,Israel,2017235.6729999997
Import,2023,Italy,152123758.717
Import,2023,Ivory Coast,363650.692
Import,2023,Jamaica,7164.959
Import,2023,Japan,257815178.769
Import,2023,Jordan,26668279.761
Import,2023,Kazakhstan,236927.86
Import,2023,Kenya,9764834.679000001
Import,2023,Kuwait,69208169.635
Import,2023,Kyrgyzstan,17724.781
Import,2023,Lao People' S Dem Republic,47326.008
Import,2023,Latvia,595304.903
